github,android
wildfly,wildfly
idrc,tecla-framework
dCache,dcache
MassBayCS225,EMS
ZooTypers,ZooTypers
FeverTeam,LivePPT-Play2
karma-exchange-org,karma-exchange
OpenIndiana,oi-userland
square,picasso
jboss-fuse,fuse
sonatype,nexus-oss
zanata,zanata-server
cgeo,cgeo
M66B,XPrivacy
C3C0,GravityBox
bitbar,testdroid-api
dfci-cccb,mev
molgenis,systemsgenetics
seomoz,askari
rultor,rultor
EmilHernvall,tregmine
DataTorrent,Malhar
jboss-developer,jboss-eap-quickstarts
pentaho,pentaho-kettle
AOKP,frameworks_base
CloudifySource,cloudify
KentBeck,junit
SirSengir,BuildCraft
SpoutDev,Spout
The-Dream-Team,Tardis
aipocom,aipo
anathema,anathema
atlasapi,atlas-feeds
bcdev,beam
belaban,JGroups
blasv,DineOn
caelum,vraptor4
clojure,clojure
cnnic,restfulwhois
ironjacamar,ironjacamar
iuval,furry-octo-avenger
jbossas,jboss-as
jenkinsci,gerrit-trigger-plugin
mluukkai,ohtu2012
powerbot,RSBot-API
void256,nifty-gui
wordpress-mobile,WordPress-Android
